ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,B001KVZ6HK,LEXRANKSYSTEM1.TXT,0.30350,0.47853,0.37143,1
ROUGE-2,B001KVZ6HK,TEXTRANKSYSTEM4.TXT,0.06226,0.31373,0.10390,1
ROUGE-2,B001KVZ6HK,LSASYSTEM2.TXT,0.57977,0.26847,0.36700,1
ROUGE-2,B001KVZ6HK,SUMBASICSYSTEM3.TXT,0.22568,0.58586,0.32584,1
ROUGE-2,0793906091,TEXTRANKSYSTEM4.TXT,0.38851,0.44947,0.41677,1
ROUGE-2,0793906091,LSASYSTEM2.TXT,0.52874,0.35061,0.42163,1
ROUGE-2,0793906091,SUMBASICSYSTEM3.TXT,0.08736,0.27941,0.13310,1
ROUGE-2,0793906091,LEXRANKSYSTEM1.TXT,0.25517,0.48684,0.33484,1
ROUGE-2,B009934S5M,LSASYSTEM2.TXT,0.70248,0.26034,0.37989,1
ROUGE-2,B009934S5M,TEXTRANKSYSTEM4.TXT,0.23554,0.20803,0.22093,1
ROUGE-2,B009934S5M,LEXRANKSYSTEM1.TXT,0.19421,0.41593,0.26479,1
ROUGE-2,B009934S5M,SUMBASICSYSTEM3.TXT,0.15702,0.36893,0.22029,1
ROUGE-2,B003EYVXV4,TEXTRANKSYSTEM4.TXT,0.61538,0.22642,0.33103,1
ROUGE-2,B003EYVXV4,LEXRANKSYSTEM1.TXT,0.43590,0.07692,0.13077,1
ROUGE-2,B003EYVXV4,LSASYSTEM2.TXT,0.10256,0.00676,0.01268,1
ROUGE-2,B003EYVXV4,SUMBASICSYSTEM3.TXT,0.35897,0.12500,0.18543,1
ROUGE-2,B005LAIHXQ,SUMBASICSYSTEM3.TXT,0.50000,0.18657,0.27174,1
ROUGE-2,B005LAIHXQ,LEXRANKSYSTEM1.TXT,0.44000,0.16794,0.24309,1
ROUGE-2,B005LAIHXQ,LSASYSTEM2.TXT,0.14000,0.01213,0.02233,1
ROUGE-2,B005LAIHXQ,TEXTRANKSYSTEM4.TXT,0.38000,0.13869,0.20321,1
ROUGE-2,630575067X,LSASYSTEM2.TXT,0.18391,0.02282,0.04061,1
ROUGE-2,630575067X,TEXTRANKSYSTEM4.TXT,0.48276,0.13462,0.21053,1
ROUGE-2,630575067X,SUMBASICSYSTEM3.TXT,0.35632,0.16316,0.22383,1
ROUGE-2,630575067X,LEXRANKSYSTEM1.TXT,0.59770,0.27225,0.37410,1
ROUGE-2,B002VPE1AW,LEXRANKSYSTEM1.TXT,0.38462,0.12397,0.18750,1
ROUGE-2,B002VPE1AW,LSASYSTEM2.TXT,0.15385,0.00948,0.01786,1
ROUGE-2,B002VPE1AW,SUMBASICSYSTEM3.TXT,0.48718,0.13669,0.21348,1
ROUGE-2,B002VPE1AW,TEXTRANKSYSTEM4.TXT,0.53846,0.17647,0.26582,1
ROUGE-2,B00003CWT6,SUMBASICSYSTEM3.TXT,0.20475,0.21698,0.21069,1
ROUGE-2,B00003CWT6,LSASYSTEM2.TXT,0.59050,0.25777,0.35888,1
ROUGE-2,B00003CWT6,LEXRANKSYSTEM1.TXT,0.13056,0.28947,0.17996,1
ROUGE-2,B00003CWT6,TEXTRANKSYSTEM4.TXT,0.33828,0.21756,0.26481,1
ROUGE-2,B0000AQS0F,LSASYSTEM2.TXT,0.71947,0.32635,0.44902,1
ROUGE-2,B0000AQS0F,SUMBASICSYSTEM3.TXT,0.11881,0.36735,0.17955,1
ROUGE-2,B0000AQS0F,LEXRANKSYSTEM1.TXT,0.13531,0.45055,0.20812,1
ROUGE-2,B0000AQS0F,TEXTRANKSYSTEM4.TXT,0.21452,0.28761,0.24575,1
ROUGE-2,B0059XTU1S,LSASYSTEM2.TXT,0.06977,0.00472,0.00884,1
ROUGE-2,B0059XTU1S,LEXRANKSYSTEM1.TXT,0.65116,0.25225,0.36364,1
ROUGE-2,B0059XTU1S,SUMBASICSYSTEM3.TXT,0.20930,0.08571,0.12162,1
ROUGE-2,B0059XTU1S,TEXTRANKSYSTEM4.TXT,0.81395,0.34653,0.48611,1
